,Height_Dimensions,Counts,Width_dimensions,Width_Counts
11,4000.0,15073.0,6000,15073
47,3782.0,42.0,1368,70
17,3712.0,7067.0,3216,7915
9,3648.0,17372.0,5472,17372
24,3456.0,4685.0,3088,3982
3,3264.0,54203.0,4928,54203
40,3236.0,141.0,3264,150
8,3168.0,18061.0,4752,18061
10,3072.0,15568.0,4096,15568
27,3000.0,2232.0,4496,2232
60,2910.0,6.0,2576,7
14,2848.0,9147.0,3072,9537
25,2800.0,3063.0,2124,3213
37,2720.0,210.0,3648,324
63,2672.0,2.0,320,6
21,2656.0,5185.0,3984,5185
2,2592.0,57354.0,3888,57273
6,2448.0,19306.0,3696,19156
35,2432.0,324.0,2392,368
12,2336.0,13256.0,3504,13256
5,2304.0,22694.0,1956,20881
19,2300.0,6271.0,2300,6271
15,2136.0,7915.0,1960,8916
16,2056.0,7195.0,4272,8431
13,2048.0,9965.0,1725,11827
33,2000.0,612.0,3008,603
29,1984.0,1676.0,1024,1307
28,1958.0,1944.0,2976,1817
1,1944.0,77126.0,2592,79716
4,1934.0,27976.0,3456,22694
55,1930.0,8.0,170,13
0,1920.0,83791.0,2560,83791
31,1880.0,1303.0,4288,716
20,1876.0,6250.0,1876,6250
7,1824.0,19018.0,2736,19018
26,1728.0,2590.0,2800,3063
18,1725.0,6652.0,5568,7067
22,1721.0,5175.0,2464,5077
34,1696.0,363.0,2048,472
42,1664.0,72.0,2032,116
23,1632.0,5077.0,5184,4685
43,1630.0,70.0,3872,81
39,1536.0,172.0,1792,193
36,1360.0,300.0,2544,363
45,1288.0,57.0,2496,72
53,1200.0,17.0,1648,25
38,1184.0,193.0,2720,208
54,1155.0,12.0,1280,24
41,1152.0,131.0,1536,125
51,1125.0,25.0,400,49
49,1066.0,36.0,1936,57
52,960.0,24.0,3782,42
48,940.0,42.0,2600,60
44,912.0,70.0,1819,72
50,900.0,30.0,1600,53
65,820.0,2.0,799,3
62,801.0,3.0,3600,6
68,683.0,1.0,928,1
30,682.0,1306.0,2816,1303
61,617.0,3.0,1728,6
64,616.0,2.0,925,3
66,615.0,1.0,957,2
32,502.0,647.0,723,647
46,315.0,49.0,2173,70
56,300.0,7.0,1677,12
59,211.0,6.0,150,7
69,210.0,1.0,926,1
57,125.0,6.0,3000,11
67,112.0,1.0,4080,2
58,109.0,6.0,2497,8
70,,,921,1
71,,,279,1
